# Transfer functions T_i(k) for adiabatic (AD) mode (normalized to initial curvature=1) at redshift z=99
# for k=1.04206e-05 to 742.666 h/Mpc,
# number of wavenumbers equal to 414
# d_i   stands for (delta rho_i/rho_i)(k,z) with above normalization 
# d_tot stands for (delta rho_tot/rho_tot)(k,z) with rho_Lambda NOT included in rho_tot
# (note that this differs from the transfer function output from CAMB/CMBFAST, which gives the same
#  quantities divided by -k^2 with k in Mpc^-1; use format=camb to match CAMB)
# t_i   stands for theta_i(k,z) with above normalization 
# t_tot stands for (sum_i [rho_i+p_i] theta_i)/(sum_i [rho_i+p_i]))(k,z)
#
#    1:k (h/Mpc)              2:d_g                    3:d_b                    4:d_cdm                  5:d_ur                   6:d_m                    7:d_tot                  8:phi                    9:psi                   10:t_g                   11:t_b                   12:t_ur                  13:t_tot              
       1.506230946556e-04      -3.317293119410e-03      -2.490146125129e-03      -2.490164378221e-03      -3.316947487984e-03      -2.490496201226e-03      -2.513745104593e-03       6.121160190994e-01       5.968018780232e-01      -6.583827553264e-09      -5.799498544338e-12      -7.012628069561e-09      -2.554843551446e-10 
       1.577217424096e-04      -3.637011243818e-03      -2.730374795655e-03      -2.730396740634e-03      -3.636595744670e-03      -2.730760272216e-03      -2.756242811980e-03       6.121094285344e-01       5.967974828758e-01      -7.915002157602e-09      -6.972496598318e-12      -8.430430644916e-09      -3.071393344395e-10 
       1.651549391254e-04      -3.987508822433e-03      -2.993777035865e-03      -2.993803419307e-03      -3.987009338461e-03      -2.994201652816e-03      -3.022131434963e-03       6.121022062140e-01       5.967926647996e-01      -9.515269699673e-09      -8.382653115701e-12      -1.013481272875e-08      -3.692358304430e-10 
       1.729384516098e-04      -4.371741985891e-03      -3.282587927101e-03      -3.282619647178e-03      -4.371141545919e-03      -3.283055863369e-03      -3.313666708012e-03       6.120942861107e-01       5.967873822672e-01      -1.143900334990e-08      -1.007817215998e-11      -1.218367767834e-08      -4.438836590281e-10 
       1.810887897364e-04      -4.792949359218e-03      -3.599258061349e-03      -3.599296197162e-03      -4.792227567903e-03      -3.599773967771e-03      -3.633321803776e-03       6.120856033461e-01       5.967815910871e-01      -1.375156521864e-08      -1.211653151277e-11      -1.464662160879e-08      -5.336188150412e-10 
       1.896232414650e-04      -5.254678757534e-03      -3.946474286904e-03      -3.946520136461e-03      -5.253811098268e-03      -3.947043367482e-03      -3.983808254029e-03       6.120760834880e-01       5.967752409991e-01      -1.653151190630e-08      -1.456726697011e-11      -1.760729337496e-08      -6.414893513961e-10 
       1.985599095119e-04      -5.760816384578e-03      -4.327182499664e-03      -4.327237622555e-03      -5.759773396648e-03      -4.327810561917e-03      -4.368098926038e-03       6.120656464696e-01       5.967682789278e-01      -1.987326617764e-08      -1.751339941834e-11      -2.116622379594e-08      -7.711586592804e-10 
       2.079177497483e-04      -6.315618650511e-03      -4.744612557285e-03      -4.744678828503e-03      -6.314364927289e-03      -4.745306113422e-03      -4.789453140634e-03       6.120542018876e-01       5.967606439796e-01      -2.389030867620e-08      -2.105524922254e-11      -2.544423326764e-08      -9.270295968784e-10 
       2.177166114080e-04      -6.923746982586e-03      -5.202305659058e-03      -5.202385335661e-03      -6.922239959013e-03      -5.203072040783e-03      -5.251444272031e-03       6.120416562252e-01       5.967522745339e-01      -2.871901915232e-08      -2.531406047815e-11      -3.058653408939e-08      -1.114393751604e-09 
       2.279772791902e-04      -7.590305735066e-03      -5.704144330916e-03      -5.704240122074e-03      -7.588494278964e-03      -5.704991738640e-03      -5.757989959309e-03       6.120278992343e-01       5.967430968159e-01      -3.452331248235e-08      -3.043352729655e-11      -3.676760659565e-08      -1.339610000835e-09 
